bar,decision_ts,daily_debit,L_month_debit,S_month_debit
4604,2025-03-19 08:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4605,2025-03-19 09:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4606,2025-03-19 10:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4607,2025-03-19 11:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4608,2025-03-19 12:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4609,2025-03-19 13:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4610,2025-03-19 14:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4611,2025-03-19 15:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4612,2025-03-19 16:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4613,2025-03-19 17:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4614,2025-03-19 18:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4615,2025-03-19 19:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4616,2025-03-19 20:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4617,2025-03-19 21:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4618,2025-03-19 22:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4619,2025-03-19 23:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4620,2025-03-20 00:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4621,2025-03-20 01:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4622,2025-03-20 02:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4623,2025-03-20 03:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4624,2025-03-20 04:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4625,2025-03-20 05:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4626,2025-03-20 06:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4627,2025-03-20 07:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4628,2025-03-20 08:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4629,2025-03-20 09:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4630,2025-03-20 10:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4631,2025-03-20 11:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4632,2025-03-20 12:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4633,2025-03-20 13:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4634,2025-03-20 14:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4635,2025-03-20 15:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4636,2025-03-20 16:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4637,2025-03-20 17:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4638,2025-03-20 18:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4639,2025-03-20 19:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4640,2025-03-20 20:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4641,2025-03-20 21:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4642,2025-03-20 22:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4643,2025-03-20 23:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4644,2025-03-21 00:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4645,2025-03-21 01:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4646,2025-03-21 02:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4647,2025-03-21 03:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4648,2025-03-21 04:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4649,2025-03-21 05:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4650,2025-03-21 06:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4651,2025-03-21 07:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4652,2025-03-21 08:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4653,2025-03-21 09:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4654,2025-03-21 10:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4655,2025-03-21 11:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4656,2025-03-21 12:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4657,2025-03-21 13:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4658,2025-03-21 14:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4659,2025-03-21 15:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4660,2025-03-21 16:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4661,2025-03-21 17:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4662,2025-03-21 18:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4663,2025-03-21 19:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4664,2025-03-21 20:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4665,2025-03-21 21:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4666,2025-03-21 22:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4667,2025-03-21 23:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4668,2025-03-22 00:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4669,2025-03-22 01:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4670,2025-03-22 02:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4671,2025-03-22 03:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4672,2025-03-22 04:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4673,2025-03-22 05:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4674,2025-03-22 06:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4675,2025-03-22 07:00:00,0.0,-0.5949162304428807,-0.1755853237014234
